questions,question_type,zero_shot_answers,zero_shot_contexts
Which guideline is associated with the mitigation strategy of Application Isolation and Sandboxing?,factual,<b>The guideline associated with the mitigation strategy of Application Isolation and Sandboxing is NIST SP 800-53.</b>,The guideline associated with the mitigation strategy of Application Isolation and Sandboxing is NIST SP 800-53.
What is the purpose of filtering network traffic according to MITRE?,factual,"<b>The purpose of filtering network traffic is to enhance security by controlling the flow of data into and out of a network. This process helps to prevent unauthorized access, detect malicious activities, and ensure that only legitimate traffic is allowed, thereby protecting sensitive information and maintaining the integrity of the network.</b>","The purpose of filtering network traffic is to enhance security by controlling the flow of data into and out of a network. This process helps to prevent unauthorized access, detect malicious activities, and ensure that only legitimate traffic is allowed, thereby protecting sensitive information and maintaining the integrity of the network."
What is the MITRE external ID for the 'Filter Network Traffic' course of action?,factual,<b>The MITRE external ID for the 'Filter Network Traffic' course of action is T1040.</b>,The MITRE external ID for the 'Filter Network Traffic' course of action is T1040.
What document provides guidelines on firewall deployment for SCADA and process control networks?,factual,"<b>The document that provides guidelines on firewall deployment for SCADA and process control networks is the ""NIST Special Publication 800-82.""</b>","The document that provides guidelines on firewall deployment for SCADA and process control networks is the ""NIST Special Publication 800-82."""
What is the focus of the 'Restrict Web-Based Content' course of action?,factual,"<b>The focus of the 'Restrict Web-Based Content' course of action is to limit access to certain online materials and resources. This may involve implementing measures to block or filter specific websites, applications, or types of content that are deemed inappropriate or harmful. The goal is to create a safer and more controlled online environment, particularly in settings such as schools or workplaces.</b>","The focus of the 'Restrict Web-Based Content' course of action is to limit access to certain online materials and resources. This may involve implementing measures to block or filter specific websites, applications, or types of content that are deemed inappropriate or harmful. The goal is to create a safer and more controlled online environment, particularly in settings such as schools or workplaces."
What is the MITRE external ID for 'Restrict Web-Based Content'?,factual,<b>The MITRE external ID for 'Restrict Web-Based Content' is M1027.</b>,The MITRE external ID for 'Restrict Web-Based Content' is M1027.
Which guideline is associated with validating program inputs?,factual,"<b>The guideline associated with validating program inputs is the ""Input Validation"" guideline.</b>","The guideline associated with validating program inputs is the ""Input Validation"" guideline."
What is the purpose of validating program inputs?,factual,"<b>The purpose of validating program inputs is to ensure that the data received by a program is accurate, complete, and in the expected format. This process helps to prevent errors, security vulnerabilities, and unexpected behavior in the program by filtering out invalid or malicious data before it is processed. Validating inputs contributes to the overall reliability and robustness of the software.</b>","The purpose of validating program inputs is to ensure that the data received by a program is accurate, complete, and in the expected format. This process helps to prevent errors, security vulnerabilities, and unexpected behavior in the program by filtering out invalid or malicious data before it is processed. Validating inputs contributes to the overall reliability and robustness of the software."
What publication provides details about secure PLC coding practices?,factual,"<b>The publication that provides details about secure PLC coding practices is ""ISA/IEC 62443-4-2.""</b>","The publication that provides details about secure PLC coding practices is ""ISA/IEC 62443-4-2."""
What is the purpose of network segmentation in ICS environments?,factual,"<b>The purpose of network segmentation in Industrial Control System (ICS) environments is to enhance security and manageability by dividing the network into smaller, isolated segments. This approach helps to limit the spread of potential cyber threats, reduces the attack surface, and allows for more effective monitoring and control of network traffic. Additionally, segmentation can improve system performance and compliance with regulatory requirements by ensuring that critical systems are protected and that access is restricted to authorized users only.</b>","The purpose of network segmentation in Industrial Control System (ICS) environments is to enhance security and manageability by dividing the network into smaller, isolated segments. This approach helps to limit the spread of potential cyber threats, reduces the attack surface, and allows for more effective monitoring and control of network traffic. Additionally, segmentation can improve system performance and compliance with regulatory requirements by ensuring that critical systems are protected and that access is restricted to authorized users only."
What is the MITRE external ID for 'Network Segmentation'?,factual,<b>The MITRE external ID for 'Network Segmentation' is M1030.</b>,The MITRE external ID for 'Network Segmentation' is M1030.
Which guideline is associated with the course of action for Network Segmentation?,factual,<b>The guideline associated with the course of action for Network Segmentation is NIST SP 800-53.</b>,The guideline associated with the course of action for Network Segmentation is NIST SP 800-53.
What mitigation involves restricting the ability to modify certain hives or keys in the Windows Registry?,factual,"<b>The mitigation that involves restricting the ability to modify certain hives or keys in the Windows Registry is known as ""Registry Permissions."" This approach helps to prevent unauthorized changes to critical system settings and enhances overall security by controlling access to specific areas of the registry.</b>","The mitigation that involves restricting the ability to modify certain hives or keys in the Windows Registry is known as ""Registry Permissions."" This approach helps to prevent unauthorized changes to critical system settings and enhances overall security by controlling access to specific areas of the registry."
